recipe_id,ingredient_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
2,11
2,2
2,12
2,13
2,14
2,15
2,5
2,16
2,17
2,18
2,6
2,19
2,20
3,21
3,22
3,23
3,5
3,24
3,25
3,26
3,18
3,6
3,9
3,10
4,21
4,27
4,18
4,17
5,28
6,29
6,18
6,30
6,31
7,32
8,1
8,29
8,18
8,33
8,34
9,35
9,36
9,29
10,37
10,38
11,35
11,37
13,1
13,39
13,30
13,40
13,41
13,42
13,34
13,43
13,17
14,29
14,18
14,44
14,38
15,45
15,12
15,14
15,5
15,46
15,6
15,47
16,48
16,49
16,24
16,50
16,18
16,51
16,52
17,53
17,54
17,21
17,55
17,56
17,35
17,57
17,18
17,58
17,52
17,59
18,45
18,2
18,3
18,46
18,35
18,6
18,29
18,9
18,10
19,22
19,60
19,24
19,61
19,62
19,35
19,63
19,64
19,29
19,9
19,17
20,11
20,12
20,65
20,5
20,40
20,18
20,6
21,66
21,50
22,10
22,30
22,43
22,55
22,61
22,56
22,67
22,57
22,18
22,41
22,6
22,52
22,68
22,58
22,69
22,17
23,11
23,2
23,37
23,70
23,24
23,71
23,5
23,17
23,35
23,72
23,18
23,57
23,73
23,19
23,10
23,59
23,20
25,1
25,24
25,15
25,5
25,16
25,18
25,74
25,10
25,17
26,35
26,9
26,10
27,1
27,2
27,4
27,15
27,17
28,45
28,75
28,76
28,57
28,10
28,77
28,24
28,16
28,35
28,29
28,78
28,72
28,79
28,30
28,80
28,34
28,9
28,81
28,82
28,15
28,83
29,84
29,45
29,2
29,85
29,24
29,76
29,5
29,57
29,35
29,29
29,9
29,10
29,82
30,29
30,10
30,86
30,24
31,87
31,86
32,79
32,88
32,89
32,24
32,30
32,90
32,25
32,63
32,18
32,29
32,9
32,10
33,44
33,3
33,4
33,24
33,35
33,73
33,9
33,10
34,45
34,2
34,24
34,50
34,5
34,80
34,46
34,18
34,6
34,29
34,10
34,77
34,20
35,84
35,53
35,79
35,44
35,3
35,27
35,23
35,24
35,16
35,50
35,83
35,18
35,73
35,29
35,9
35,87
35,91
35,20
36,2
36,24
36,50
36,5
36,18
36,92
36,60
36,10
37,24
37,71
37,35
37,63
37,18
37,29
37,9
37,10
37,82
38,3
38,24
38,71
38,50
38,80
38,35
38,18
38,9
38,10
38,72
39,2
39,93
39,21
39,50
39,16
39,18
39,94
39,95
40,1
40,85
40,75
40,86
40,96
40,97
40,73
41,1
41,24
41,57
41,62
41,18
41,9
42,37
42,98
42,99
42,100
42,42
42,69
43,84
43,2
43,12
43,65
43,96
43,21
43,50
43,61
43,17
43,35
43,25
43,18
43,73
43,29
43,10
43,59
43,20
44,53
44,12
44,86
44,24
44,80
44,18
44,58
44,17
45,79
45,3
45,24
45,5
45,16
45,57
45,26
45,18
45,29
45,9
45,10
45,77
46,101
46,1
46,30
46,62
46,18
46,42
46,17
47,45
47,90
47,57
47,102
47,43
47,10
47,59
47,96
47,24
47,50
47,16
47,55
47,61
47,56
47,35
47,87
47,58
47,30
47,41
47,103
47,21
47,83
47,18
47,6
47,17
48,18
48,5
48,25
49,18
49,42
50,84
50,9
50,10
50,58
51,34
51,1
51,18
51,30
52,98
52,30
52,18
52,42
52,104
52,105
52,69
53,1
53,2
53,50
53,106
53,18
53,42
53,107
53,91
54,27
54,17
55,5
55,6
56,2
56,5
56,25
56,51
56,104
56,10
56,1
56,3
56,24
56,35
56,29
56,87
56,108
56,23
56,30
56,9
56,81
56,18
56,6
57,24
57,30
57,50
57,25
57,18
57,41
57,10
57,58
57,17
58,84
58,109
58,110
58,49
58,45
58,75
58,25
58,57
58,34
58,9
58,10
59,45
59,2
59,88
59,89
59,24
59,16
59,57
59,35
59,63
59,18
59,111
59,29
59,9
59,81
59,17
60,16
60,55
60,83
60,56
60,35
60,67
60,63
60,18
60,6
60,58
60,10
60,59
61,101
61,18
61,112
61,42
62,79
62,86
62,16
62,25
62,10
62,113
63,1
63,2
63,5
63,18
63,34
64,75
64,81
64,3
64,24
64,35
64,51
64,29
64,9
64,10
64,87
65,1
65,16
65,18
65,42
65,69
66,1
66,13
66,27
66,80
66,18
66,42
66,114
67,45
67,24
67,46
67,57
67,18
68,1
68,14
68,50
68,18
68,34
68,115
69,92
69,34
69,62
69,75
70,10
70,53
70,1
70,3
70,89
70,4
70,24
70,29
70,74
70,79
70,12
70,30
70,116
70,8
70,9
70,105
70,18
70,73
70,6
70,20
71,29
71,24
71,30
71,18
72,45
72,28
72,46
72,80
72,35
72,63
72,18
72,6
72,29
72,9
72,10
72,20
73,3
73,76
73,16
73,35
73,18
73,29
73,9
73,10
73,20
74,1
74,24
74,30
74,50
74,61
74,18
74,29
74,9
74,10
75,1
75,48
75,49
75,2
75,24
75,50
75,62
75,18
75,29
75,9
75,10
75,77
76,45
76,24
76,71
76,18
76,92
76,10
76,72
77,18
77,42
78,12
78,20
78,9
78,24
78,35
78,72
78,19
78,115
78,17
79,29
80,79
80,16
80,57
80,18
80,10
80,113
81,98
81,18
81,100
81,42
81,29
82,107
82,86
82,3
82,24
82,71
82,5
82,16
82,50
82,62
82,18
82,19
82,9
83,45
83,2
83,3
83,24
83,98
83,76
83,5
83,61
83,25
83,46
83,18
83,29
83,9
83,10
83,20
84,53
84,28
84,86
84,24
84,18
84,34
84,43
84,82
84,58
85,37
85,39
85,117
85,80
85,18
85,36
85,38
85,118
85,29
85,119
86,66
86,12
86,13
86,24
86,5
86,25
86,18
86,73
86,6
86,60
86,10
86,17
87,75
87,88
87,120
87,102
87,63
87,18
87,72
88,84
88,49
88,93
88,24
88,25
88,35
88,6
88,9
88,10
89,101
89,1
89,18
90,121
90,75
90,122
90,24
90,5
90,62
90,18
90,6
90,47
90,17
91,101
91,37
91,16
91,83
91,67
91,18
91,19
91,43
92,123
92,23
92,60
92,24
92,50
92,83
92,18
92,6
92,19
92,9
92,105
92,124
93,3
93,23
93,71
93,5
93,24
93,35
93,18
93,73
93,6
93,19
93,60
93,10
93,87
93,59
94,37
94,65
94,96
94,50
94,90
94,43
94,16
94,55
94,56
94,67
94,102
94,18
94,73
94,115
94,10
94,58
94,91
94,17
95,45
95,28
95,49
95,27
95,24
95,15
95,5
95,16
95,80
95,50
95,46
95,18
95,9
95,10
95,17
96,107
96,16
96,35
96,18
96,125
96,19
96,59
97,69
97,37
97,24
97,76
97,18
97,9
97,10
97,105
97,122
97,72
98,45
98,5
98,102
98,10
98,59
98,69
98,24
98,50
98,16
98,55
98,56
98,35
98,58
98,30
98,67
98,41
98,34
98,21
98,46
98,18
98,6
98,17
99,24
99,50
99,16
99,102
99,18
99,34
99,10
99,72
100,1
100,2
100,28
100,45
100,21
100,24
100,50
100,55
100,56
100,67
100,26
100,18
100,6
100,34
100,58
100,20
101,45
101,79
101,28
101,103
101,2
101,12
101,3
101,86
101,24
101,50
101,46
101,25
101,35
101,126
101,9
101,10
102,39
102,45
102,18
102,29
103,53
103,2
103,75
103,24
103,50
103,18
103,73
103,34
103,58
104,2
104,37
104,3
104,24
104,5
104,80
104,83
104,57
104,18
104,9
104,10
104,105
104,20
105,11
105,2
105,45
105,127
105,24
105,50
105,5
105,46
105,63
105,18
105,6
105,29
105,77
106,45
106,2
106,37
106,81
106,3
106,21
106,24
106,46
106,83
106,57
106,72
106,18
106,9
106,10
106,78
106,17
107,45
107,75
107,76
107,5
107,43
107,10
107,3
107,4
107,24
107,7
107,80
107,63
107,8
107,9
107,127
107,15
107,18
107,6
107,17
108,9
108,2
108,83
108,18
109,24
109,18
109,29
109,9
109,69
110,45
110,28
110,3
110,24
110,50
110,46
110,80
110,18
110,60
110,10
111,24
111,76
111,16
111,50
111,7
111,107
111,34
112,2
112,57
112,62
112,33
112,10
112,59
112,28
112,24
112,50
112,55
112,61
112,56
112,35
112,7
112,58
112,128
112,34
112,21
112,18
112,73
112,20
113,101
113,1
113,129
113,2
113,12
113,16
113,67
113,100
113,42
113,107
114,1
114,13
114,75
114,86
114,50
114,40
114,18
114,94
114,19
114,9
114,130
115,11
115,2
115,116
115,35
115,18
115,100
115,42
115,19
115,29
115,59
116,45
116,24
116,5
116,55
116,46
116,56
116,18
116,6
116,7
116,10
116,77
116,58
117,45
117,2
117,37
117,24
117,16
117,57
117,35
117,18
117,19
117,9
117,77
117,59
118,1
118,2
118,45
118,4
118,24
118,5
118,46
118,6
118,8
118,9
118,47
119,1
119,2
119,49
119,9
119,75
119,127
119,88
119,24
119,15
119,5
119,80
119,63
119,18
119,116
119,29
119,95
119,131
119,17
120,2
120,96
120,21
120,24
120,61
120,83
120,35
120,29
120,18
120,73
120,34
120,52
120,10
120,87
120,59
120,17
121,1
121,2
121,28
121,127
121,21
121,50
121,55
121,56
121,132
121,18
121,10
121,58
122,21
122,24
122,6
122,18
123,2
123,9
123,3
123,24
123,15
123,16
123,57
123,63
123,6
123,29
123,115
123,17
124,84
124,2
124,54
124,21
124,24
124,90
124,50
124,25
124,35
124,18
124,97
124,6
124,58
124,34
124,10
124,59
124,69
125,22
125,5
125,25
125,57
125,10
125,68
125,1
125,3
125,24
125,71
125,16
125,61
125,64
125,60
125,23
125,9
125,18
125,73
125,107
125,17
126,48
126,2
126,57
126,43
126,50
126,16
126,55
126,61
126,56
126,7
126,29
126,58
126,133
126,30
126,67
126,41
126,70
126,21
126,18
126,73
126,17
127,45
127,75
127,24
127,76
127,57
127,64
127,63
127,18
127,134
127,9
127,77
127,17
128,34
128,1
128,18
128,50
129,11
129,1
129,135
129,86
129,95
129,35
129,18
129,94
129,19
129,115
129,105
129,17
130,2
130,103
130,127
130,96
130,50
130,5
130,61
130,35
130,18
130,73
130,58
130,10
130,59
130,113
131,2
131,28
131,21
131,24
131,50
131,5
131,55
131,56
131,35
131,125
131,73
131,7
131,19
131,68
131,59
131,58
132,37
132,98
132,80
132,83
132,18
132,29
132,72
133,53
133,126
133,75
133,5
133,62
133,18
133,29
133,95
133,130
133,131
134,27
134,50
134,16
134,67
134,18
134,115
134,95
134,91
135,2
135,90
135,43
135,10
135,59
135,96
135,4
135,50
135,61
135,35
135,58
135,30
135,41
135,8
135,103
135,15
135,18
135,73
135,17
136,45
136,24
136,76
136,5
136,16
136,55
136,56
136,80
136,46
136,18
136,125
136,6
136,107
136,7
136,10
136,58
137,45
137,5
137,57
137,10
137,113
137,53
137,3
137,24
137,50
137,7
137,19
137,29
137,60
137,87
137,58
137,79
137,23
137,44
137,70
137,86
137,18
137,20
138,1
138,39
138,117
138,24
138,50
138,62
138,18
138,77
138,136
138,58
138,47
139,27
139,76
139,16
139,83
139,67
139,18
139,94
139,9
140,2
140,135
140,9
140,12
140,24
140,18
140,115
141,101
141,1
141,2
141,135
141,29
141,18
141,42
141,34
142,3
142,23
142,24
142,16
142,57
142,35
142,18
142,73
142,9
142,10
143,1
143,65
143,24
143,25
143,62
143,35
143,18
143,29
143,9
143,10
144,53
144,86
144,24
144,18
144,10
145,101
145,1
145,45
145,30
145,46
145,106
145,18
145,42
145,19
145,114
145,104
145,17
146,101
146,18
146,42
146,19
147,1
147,66
147,12
147,24
147,50
147,5
147,34
148,30
148,63
148,18
148,42
148,19
148,29
148,105
148,124
150,42
150,69
151,137
151,3
151,22
151,30
151,5
151,24
151,83
151,16
151,35
151,18
151,107
151,29
151,9
151,10
151,20
152,110
152,2
152,90
152,5
152,25
152,62
152,10
152,69
152,3
152,39
152,4
152,24
152,64
152,20
152,80
152,63
152,8
152,138
152,44
152,6
152,17
153,1
153,64
153,40
153,18
153,42
153,17
154,39
154,1
154,96
154,2
155,45
155,49
155,28
155,75
155,3
155,24
155,9
155,10
156,45
156,3
156,21
156,22
156,24
156,16
156,57
156,35
156,9
156,20
157,1
157,18
157,42
157,19
157,95
157,124
158,62
158,9
158,18
158,72
159,49
159,75
159,127
159,74
159,139
159,25
159,18
159,29
159,9
160,45
160,24
160,46
160,29
160,9
160,10
160,140
161,29
161,1
161,18
162,101
162,1
162,2
162,135
162,141
162,83
162,35
162,63
162,18
162,42
162,19
162,34
162,112
162,17
163,1
163,103
163,96
163,24
163,50
163,5
163,16
163,62
163,63
163,97
163,73
163,9
163,20
164,1
164,28
164,24
164,5
164,80
164,25
164,62
164,63
164,92
164,142
165,143
165,49
165,85
165,81
165,127
165,3
165,24
165,74
165,5
165,35
165,51
165,29
165,9
165,10
165,82
166,3
166,4
166,24
166,90
166,43
166,80
166,50
166,18
166,9
166,10
166,72
167,2
167,13
167,75
167,10
167,23
167,24
167,5
167,18
167,97
167,73
167,6
167,34
167,9
167,68
167,69
168,57
168,43
168,10
168,59
168,96
168,24
168,55
168,56
168,35
168,52
168,58
168,20
168,133
168,30
168,67
168,41
168,21
168,83
168,18
168,73
168,17
169,11
169,9
169,75
169,24
169,50
169,80
169,57
169,18
169,34
169,95
169,10
169,131
169,17
170,11
170,2
170,29
170,18
170,107
170,34
171,45
171,3
171,24
171,46
171,80
171,29
171,6
171,34
172,1
172,12
172,49
172,9
172,75
172,93
172,24
172,5
172,16
172,80
